datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:16:48.363000+03:00,,,,,156.90,149.20,172.10,
2024-10-19 15:16:49+03:00,66.30,13.70,29.10,11.30,,,,
2024-10-19 15:16:50.058000+03:00,,,,,158.00,150.15,172.90,
2024-10-19 15:16:51+03:00,66.60,13.60,28.70,11.10,,,,
2024-10-19 15:16:51.743000+03:00,,,,,156.45,149.20,172.50,
2024-10-19 15:16:53+03:00,66.90,13.30,28.90,10.90,,,,
2024-10-19 15:16:53.438000+03:00,,,,,157.35,149.55,172.50,
2024-10-19 15:16:55+03:00,66.30,13.50,28.70,10.50,,,,
2024-10-19 15:16:55.147000+03:00,,,,,157.90,149.55,172.15,
2024-10-19 15:16:56+03:00,67.10,13.50,29.00,10.90,,,,
2024-10-19 15:16:56.838000+03:00,,,,,158.35,149.85,172.35,
2024-10-19 15:16:58+03:00,67.20,12.90,28.70,10.40,,,,
2024-10-19 15:16:58.528000+03:00,,,,,157.15,148.90,171.50,
2024-10-19 15:17:00+03:00,66.40,13.70,29.10,10.80,,,,
2024-10-19 15:17:00.198000+03:00,,,,,156.55,148.90,171.90,
2024-10-19 15:17:01+03:00,67.20,13.50,29.00,11.30,,,,
2024-10-19 15:17:01.918000+03:00,,,,,156.55,149.20,172.20,
2024-10-19 15:17:03+03:00,66.50,13.60,29.40,10.70,,,,
2024-10-19 15:17:03.603000+03:00,,,,,157.45,149.20,171.65,
2024-10-19 15:17:05+03:00,66.60,13.50,28.80,10.60,,,,
2024-10-19 15:17:05.348000+03:00,,,,,157.55,149.20,171.20,
2024-10-19 15:17:06+03:00,67.00,13.60,29.70,10.80,,,,
2024-10-19 15:17:07.058000+03:00,,,,,155.85,148.60,171.65,
2024-10-19 15:17:08+03:00,66.40,13.70,29.40,11.10,,,,
2024-10-19 15:17:08.803000+03:00,,,,,157.45,149.20,171.85,
2024-10-19 15:17:10+03:00,67.10,13.50,29.60,11.20,,,,
2024-10-19 15:17:10.513000+03:00,,,,,155.70,148.60,171.60,
2024-10-19 15:17:12+03:00,67.30,13.90,29.70,10.80,,,,
2024-10-19 15:17:12.178000+03:00,,,,,157.55,149.20,171.45,
2024-10-19 15:17:13+03:00,67.00,13.40,29.70,11.50,,,,
2024-10-19 15:17:13.883000+03:00,,,,,157.30,149.20,171.45,
2024-10-19 15:17:15+03:00,67.30,13.50,29.70,11.60,,,,
2024-10-19 15:17:15.558000+03:00,,,,,156.90,148.90,171.10,
2024-10-19 15:17:17+03:00,67.40,13.90,29.60,10.60,,,,
2024-10-19 15:17:17.253000+03:00,,,,,157.05,149.20,171.65,
2024-10-19 15:17:18+03:00,67.20,16.30,29.90,11.60,,,,
2024-10-19 15:17:18.958000+03:00,,,,,156.50,148.60,171.35,
2024-10-19 15:17:20+03:00,66.80,13.30,29.60,11.20,,,,
2024-10-19 15:17:20.668000+03:00,,,,,158.70,149.55,171.70,
2024-10-19 15:17:22+03:00,68.60,13.30,29.60,11.00,,,,
2024-10-19 15:17:22.363000+03:00,,,,,155.70,148.25,171.10,
2024-10-19 15:17:23+03:00,67.20,14.00,30.30,10.90,,,,
2024-10-19 15:17:24.033000+03:00,,,,,157.70,149.55,171.80,
2024-10-19 15:17:25+03:00,66.30,13.70,29.90,10.60,,,,
2024-10-19 15:17:25.753000+03:00,,,,,157.35,149.85,172.65,
